Legende & conventions,
"COLONNES D'OBSERVATION (le script te les DEMANDE a chaque essai ; jaunes, modifiables a la main)",
orientation,pose physique de l'objet : debout / couche / a plat / sur tranche / aucune. ENTREE = idem essai precedent
depose_boite,"oui/non : l'objet est-il VRAIMENT tombe dans la boite ? ENTREE = auto (oui si saisi, non sinon). Le 'success' du script = seulement tenu apres la levee"
mode_echec,"si rate, le code E1-E7 ci-dessous. Demande seulement quand l'essai a echoue"
notes,"tout ce qui est notable (cam_2 a decroche, objet a glisse, etc.). ENTREE = rien"
MODES D'ECHEC,
E1,perception : objet mal localise ou non detecte
E2,IK : aucun angle d'attaque atteignable
E3,fermeture a vide : la pince se ferme sans rien attraper
E4,perte a la levee : l'objet attrape retombe en montant
E5,mauvaise saisie : prise sur coin/tranche a cause de l'orientation
E6,rate du depot : attrape/leve mais pas depose dans la boite
E7,"materiel : cam_2 USB, moteur, hub, etc."
COLONNES AUTOMATIQUES (remplies par le script),
success,1 = objet tenu apres la levee (proxy couple/position). N'EST PAS le depot visuel -> cf depose_boite
n_attempts,"1 = saisi du 1er coup, 2 = il a fallu un retry. Si > 1 et echec final -> compte comme rate"
duration_s,duree totale du cycle (sec). HF sera plus lent que HSV (OWL-ViT)
grasp_pose_error_mm,erreur de pose ATTEINTE = residu IK de la prise retenue (precision bras 5-DDL). Y-free
cam2_correction_mm,amplitude de la correction cam_2 = ecart stereo -> position raffinee (precision perception). Y-free
CONVENTIONS DISTANCE,
proche / mi / loin,vise un RAYON constant ~20 / ~30 / ~40 cm depuis la base (d = racine(x^2+y^2))
varier la position,"deplace l'objet le long d'un ARC de ce rayon (varie le cote / l'angle), PAS seulement sur l'axe x. Tolerance ~+-2 cm sur le rayon"
WORKFLOW,
0,garde CE classeur FERME pendant un run (sinon il est verrouille ; le script te previent)
1,lance une commande de l'onglet Plan. A CHAQUE essai le script demande : orientation / depose boite / mode echec / note (ENTREE = defaut)
2,"a la fin de la commande, le script ecrit TOUT (auto + tes reponses) dans l'onglet Donnees, et aussi un CSV de secours dans outputs/experiments/"
3,"ouvre l'Excel : tout est rempli, la Synthese est a jour. Corrige une cellule jaune si besoin, coche 'Statut' dans Plan"
